beam_size,length_penalty,bleu4,meteor,cider,rouge_l,mean_caption_length,mean_latency_ms,p95_latency_ms,samples,artifact
1,0.8,0.20977114561520624,0.43075626326591065,2.760683746808747,0.48884356319132827,10.088,135.22009242913919,168.117489911674,500,tasks/task3_beam_ablation/artifacts/captions/captions_beam1_lp0.8.jsonl
1,1.0,0.20977114561520624,0.43075626326591065,2.760683746808747,0.48884356319132827,10.088,136.3828581860289,164.34491076070114,500,tasks/task3_beam_ablation/artifacts/captions/captions_beam1_lp1.0.jsonl
1,1.2,0.20977114561520624,0.43075626326591065,2.760683746808747,0.48884356319132827,10.088,133.6844286036212,162.0320229514618,500,tasks/task3_beam_ablation/artifacts/captions/captions_beam1_lp1.2.jsonl
3,0.8,0.23106403058744573,0.4383176968116727,2.8705798923298924,0.49304512715438115,10.026,347.92191098368494,424.7850833446134,500,tasks/task3_beam_ablation/artifacts/captions/captions_beam3_lp0.8.jsonl
3,1.0,0.22954366723340056,0.44165515776396497,2.844898448773448,0.4932821862379942,10.186,349.6889950023615,436.41232674272027,500,tasks/task3_beam_ablation/artifacts/captions/captions_beam3_lp1.0.jsonl
3,1.2,0.22767207926853247,0.44282716737003863,2.811918234543234,0.4911878631462261,10.354,353.3820820254623,437.4476666576811,500,tasks/task3_beam_ablation/artifacts/captions/captions_beam3_lp1.2.jsonl
5,0.8,0.22871455512879746,0.4363318723881236,2.8275676961926957,0.4896939028101732,10.06,392.17332708940376,478.8043895881853,500,tasks/task3_beam_ablation/artifacts/captions/captions_beam5_lp0.8.jsonl
5,1.0,0.22811925938082145,0.4409306667955458,2.8143276653901657,0.48977003767191757,10.314,391.6700619236799,492.35579795204103,500,tasks/task3_beam_ablation/artifacts/captions/captions_beam5_lp1.0.jsonl
5,1.2,0.22553252639653087,0.4420657740546909,2.7738267157678917,0.4884670603263304,10.6,390.94933413434774,492.6066648986307,500,tasks/task3_beam_ablation/artifacts/captions/captions_beam5_lp1.2.jsonl
